Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-10001,2025-07-12,2025-07-14,CUST-704,Customer_217,Consumer,India,Kolkata,West Bengal,East,Office Supplies,Paper,Paper Product 4,3748.89,3,0.0,766.7
ORD-10002,2025-12-19,2025-12-26,CUST-325,Customer_230,Home Office,India,Kolkata,West Bengal,East,Technology,Copiers,Copiers Product 36,9070.08,9,0.05,2015.45
ORD-10003,2024-12-10,2024-12-12,CUST-194,Customer_195,Consumer,India,Kolkata,West Bengal,East,Office Supplies,Paper,Paper Product 46,5169.73,3,0.05,1709.87
ORD-10004,2024-10-27,2024-11-02,CUST-691,Customer_99,Home Office,India,Nagpur,Maharashtra,Central,Technology,Copiers,Copiers Product 9,6945.43,2,0.15,-448.26
ORD-10005,2025-10-12,2025-10-18,CUST-266,Customer_190,Corporate,India,Kolkata,West Bengal,East,Furniture,Chairs,Chairs Product 27,12844.23,2,0.15,322.24
ORD-10006,2024-10-03,2024-10-07,CUST-801,Customer_167,Consumer,India,Bhopal,Madhya Pradesh,Central,Office Supplies,Appliances,Appliances Product 30,2649.97,4,0.05,286.24
ORD-10007,2025-05-26,2025-06-02,CUST-758,Customer_235,Consumer,India,Patna,Bihar,East,Furniture,Tables,Tables Product 34,1086.21,10,0.1,-4.69
ORD-10008,2025-02-12,2025-02-18,CUST-324,Customer_71,Home Office,India,Mumbai,Maharashtra,West,Office Supplies,Appliances,Appliances Product 64,8130.76,10,0.15,2471.92
ORD-10009,2025-01-25,2025-02-02,CUST-641,Customer_129,Home Office,India,Kolkata,West Bengal,East,Technology,Phones,Phones Product 111,9448.95,7,0.2,-674.77
ORD-10010,2024-06-10,2024-06-18,CUST-103,Customer_135,Home Office,India,Kolkata,West Bengal,East,Office Supplies,Appliances,Appliances Product 98,11288.08,6,0.0,362.07
